Tiempo(s)	HUM1	V1	HUM2	V2	HUM3	V3	HUM4	V4	HUM5	V5	HUM6	V6	HUM7	V7	HUM8	V8
50.0	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.13
52.0	0.00	0.14	0.00	0.14	0.00	0.12	0.00	0.14	0.00	0.12	0.00	0.10	0.00	0.13	0.00	0.13
53.0	0.00	0.14	0.20	0.15	0.10	0.15	0.20	0.15	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14
54.0	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.14	0.20	0.15	0.10	0.15	0.00	0.14	0.20	0.15
55.0	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.12	0.00	0.13	0.30	0.16	0.00	0.13	0.00	0.14
56.0	0.00	0.14	0.00	0.14	0.00	0.12	0.40	0.16	0.00	0.13	0.00	0.12	0.00	0.14	0.00	0.14
57.0	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14
58.0	0.00	0.14	0.20	0.15	0.00	0.13	0.20	0.15	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.13
59.0	0.00	0.14	0.10	0.15	0.10	0.15	0.20	0.15	0.00	0.14	0.40	0.16	0.00	0.13	0.20	0.15
60.0	0.10	0.15	0.00	0.13	0.00	0.14	0.30	0.16	0.40	0.16	0.10	0.15	0.00	0.14	0.00	0.14
61.0	0.00	0.14	0.20	0.15	0.20	0.15	0.00	0.14	0.00	0.13	0.10	0.15	0.10	0.15	0.00	0.13
62.0	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.12	0.00	0.14	0.00	0.13	0.00	0.13
63.0	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.13	0.10	0.15	0.00	0.14	0.10	0.15
64.0	0.20	0.15	0.00	0.14	0.20	0.15	0.10	0.15	0.00	0.14	0.30	0.16	0.00	0.13	0.00	0.13
65.0	0.00	0.14	0.00	0.13	0.40	0.16	0.00	0.13	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.13
66.0	0.10	0.15	0.40	0.16	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.14	0.10	0.15
67.0	0.30	0.16	0.00	0.14	0.40	0.16	0.30	0.16	0.50	0.17	0.10	0.15	0.10	0.15	0.00	0.11
68.0	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.13	0.00	0.12	0.00	0.12	0.10	0.15	0.00	0.14
69.0	0.20	0.15	0.00	0.14	0.20	0.15	0.20	0.15	0.40	0.16	0.00	0.14	0.00	0.14	0.00	0.13
70.0	0.00	0.13	0.10	0.15	0.00	0.13	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.14	0.10	0.15
71.0	0.10	0.15	0.10	0.15	0.10	0.15	0.00	0.13	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.14
72.0	0.10	0.15	0.00	0.14	0.00	0.13	0.40	0.16	0.00	0.13	0.00	0.13	0.20	0.15	0.00	0.14
73.0	0.00	0.13	0.10	0.15	0.10	0.15	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14
74.0	0.00	0.14	0.40	0.16	0.90	0.19	0.10	0.15	0.30	0.16	0.00	0.13	0.20	0.15	0.30	0.16
75.0	0.10	0.15	0.10	0.15	0.10	0.15	0.40	0.16	0.30	0.16	0.10	0.15	0.00	0.14	0.20	0.15
76.0	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.13	0.20	0.15	0.00	0.14	0.00	0.14
78.0	0.10	0.15	0.60	0.17	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.14
79.0	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.12	0.00	0.14	0.10	0.15
80.0	0.00	0.14	0.20	0.15	0.10	0.15	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.14
81.0	0.00	0.14	0.00	0.12	0.00	0.12	0.00	0.12	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.14
82.0	0.40	0.16	0.00	0.13	0.10	0.15	0.20	0.15	0.00	0.13	0.10	0.15	0.00	0.14	0.00	0.14
83.0	0.00	0.14	0.00	0.14	0.10	0.15	0.30	0.16	0.00	0.13	0.30	0.16	0.10	0.15	0.00	0.14
84.0	0.30	0.16	0.20	0.15	0.40	0.16	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14
85.0	0.00	0.14	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14
86.0	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.14	0.10	0.15
87.0	0.10	0.15	0.10	0.15	0.00	0.12	0.30	0.16	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.13
88.0	0.20	0.15	0.00	0.13	0.00	0.13	0.10	0.15	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.13
89.0	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14	0.10	0.15	0.00	0.14
90.0	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.13	0.00	0.12	0.30	0.16	0.00	0.13	0.00	0.14
91.0	0.00	0.13	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.12	0.00	0.14	0.00	0.14
92.0	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.14
93.0	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.12	0.00	0.14	0.00	0.13
94.0	0.00	0.14	0.00	0.13	0.20	0.15	0.00	0.13	0.00	0.13	0.00	0.13	0.10	0.15	0.00	0.13
95.0	0.20	0.15	0.20	0.15	0.10	0.15	0.20	0.15	0.00	0.12	0.00	0.11	0.10	0.15	0.00	0.14
96.0	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.14	0.10	0.15	0.50	0.17	0.00	0.14	0.00	0.14
97.0	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.13	0.10	0.15	0.00	0.13	0.00	0.14
98.0	0.10	0.15	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.12	0.00	0.14	0.10	0.15
99.0	0.10	0.15	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14	0.10	0.15
100.0	0.00	0.14	0.10	0.15	0.20	0.15	0.10	0.15	0.10	0.15	0.00	0.14	0.00	0.14	0.10	0.15
101.0	0.00	0.14	0.00	0.12	0.10	0.15	0.10	0.15	0.00	0.14	0.50	0.17	0.00	0.13	0.00	0.14
102.0	0.00	0.14	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.12	0.00	0.12	0.00	0.13	0.00	0.13
104.0	0.00	0.13	0.30	0.16	0.10	0.15	0.10	0.15	0.00	0.14	0.10	0.15	0.10	0.15	0.00	0.13
105.0	0.00	0.14	0.00	0.12	0.00	0.14	0.00	0.14	0.20	0.15	0.10	0.15	0.00	0.14	0.10	0.15
106.0	0.20	0.15	0.10	0.15	0.00	0.13	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.13	0.00	0.13
107.0	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.13	0.10	0.15	0.00	0.13
108.0	0.10	0.15	0.10	0.15	0.00	0.13	0.20	0.15	0.50	0.17	0.30	0.16	0.00	0.14	0.00	0.14
109.0	0.10	0.15	0.00	0.14	0.00	0.12	0.00	0.14	0.40	0.16	0.00	0.14	0.00	0.14	0.00	0.14
110.0	0.00	0.14	0.10	0.15	0.50	0.17	0.20	0.15	0.00	0.13	0.50	0.17	0.00	0.14	0.20	0.15
111.0	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14	0.10	0.15
112.0	0.30	0.16	0.20	0.15	0.00	0.14	0.00	0.14	0.10	0.15	0.20	0.15	0.00	0.14	0.00	0.13
113.0	0.10	0.15	0.10	0.15	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14
114.0	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.13	0.10	0.15	0.50	0.17	0.00	0.14	0.00	0.12
115.0	0.00	0.14	0.00	0.14	0.10	0.15	0.20	0.15	0.00	0.13	0.00	0.14	0.10	0.15	0.10	0.15
116.0	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.14	0.10	0.15
117.0	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.12	0.30	0.16	0.00	0.14	0.20	0.15
118.0	0.00	0.14	0.00	0.14	0.40	0.16	0.00	0.13	0.00	0.14	0.40	0.16	0.00	0.13	0.00	0.14
119.0	0.20	0.15	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14
120.0	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.13
121.0	0.30	0.16	0.00	0.12	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.14	0.10	0.15
122.0	0.10	0.15	0.00	0.13	0.00	0.13	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14
123.0	0.10	0.15	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.12	0.00	0.14	0.00	0.14
124.0	0.10	0.15	0.10	0.15	0.00	0.13	0.00	0.13	0.00	0.12	0.00	0.14	0.00	0.14	0.00	0.13
125.0	0.00	0.14	0.10	0.15	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.13
126.0	0.00	0.14	0.00	0.12	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14	0.30	0.16
127.0	0.20	0.15	0.00	0.13	0.20	0.15	0.10	0.15	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.14
129.0	0.00	0.14	0.00	0.13	0.10	0.15	0.00	0.13	0.00	0.13	0.00	0.12	0.00	0.14	0.00	0.13
130.0	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15	0.10	0.15	0.00	0.14	0.00	0.14
131.0	0.00	0.13	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.14	0.10	0.15	0.00	0.14
132.0	0.00	0.14	0.00	0.13	0.40	0.16	0.00	0.14	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.14
133.0	0.00	0.13	0.00	0.13	0.10	0.15	0.10	0.15	0.00	0.14	0.30	0.16	0.00	0.13	0.10	0.15
134.0	0.10	0.15	0.20	0.15	0.00	0.13	0.00	0.14	0.30	0.16	0.10	0.15	0.10	0.15	0.00	0.13
135.0	0.20	0.15	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.13	0.20	0.15	0.10	0.15	0.00	0.13
136.0	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.12	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14
137.0	0.00	0.12	0.00	0.11	0.10	0.15	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.14	0.00	0.14
138.0	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14	0.10	0.15
139.0	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.14
140.0	0.20	0.15	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.12	0.00	0.14	0.00	0.13
141.0	0.10	0.15	0.20	0.15	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.13
142.0	0.20	0.15	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.12	0.00	0.14	0.20	0.15
143.0	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.14
144.0	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.11	0.00	0.13	0.00	0.13
145.0	0.20	0.15	0.00	0.12	0.30	0.16	0.10	0.15	0.00	0.12	0.00	0.14	0.00	0.13	0.00	0.14
146.0	0.00	0.13	0.20	0.15	0.30	0.16	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.14
147.0	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14	0.20	0.15	0.00	0.14	0.20	0.15
148.0	0.10	0.15	0.30	0.16	0.20	0.15	0.00	0.14	0.00	0.12	0.40	0.16	0.00	0.13	0.00	0.14
149.0	0.00	0.14	0.00	0.14	0.30	0.16	0.00	0.14	0.10	0.15	0.40	0.16	0.00	0.14	0.00	0.14
150.0	0.00	0.13	0.10	0.15	0.00	0.14	0.00	0.13	0.20	0.15	0.20	0.15	0.00	0.13	0.10	0.15
151.0	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15
152.0	0.20	0.15	0.00	0.13	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.13	0.10	0.15	0.00	0.13
153.0	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.14
155.0	0.10	0.15	0.00	0.14	0.10	0.15	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14
156.0	0.10	0.15	0.10	0.15	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.14	0.10	0.15	0.00	0.13
157.0	0.00	0.14	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14
158.0	0.10	0.15	0.20	0.15	0.10	0.15	0.00	0.14	0.40	0.16	0.00	0.14	0.00	0.14	0.10	0.15
159.0	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15	0.10	0.15	0.00	0.13
160.0	0.00	0.14	0.50	0.17	0.00	0.14	0.10	0.15	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.14
161.0	0.00	0.13	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.13	0.00	0.12	0.00	0.13	0.00	0.12
162.0	0.00	0.14	0.20	0.15	0.50	0.17	0.10	0.15	0.30	0.16	0.00	0.14	0.00	0.13	0.00	0.14
163.0	0.20	0.15	0.30	0.16	0.10	0.15	0.30	0.16	0.40	0.16	0.00	0.14	0.00	0.14	0.10	0.15
164.0	0.20	0.15	0.10	0.15	0.00	0.14	0.00	0.14	0.40	0.16	0.00	0.14	0.20	0.15	0.10	0.15
165.0	0.20	0.15	0.00	0.13	0.20	0.15	0.20	0.15	0.00	0.12	0.00	0.14	0.00	0.14	0.00	0.14
166.0	0.10	0.15	0.00	0.14	0.00	0.14	0.10	0.15	0.10	0.15	0.00	0.12	0.00	0.13	0.00	0.14
167.0	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15
168.0	0.00	0.13	0.10	0.15	0.00	0.14	0.00	0.14	0.30	0.16	0.40	0.16	0.10	0.15	0.10	0.15
169.0	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.13
170.0	0.20	0.15	0.00	0.14	0.00	0.13	0.30	0.16	0.40	0.16	0.00	0.14	0.00	0.13	0.00	0.14
171.0	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.13	0.10	0.15	0.40	0.16	0.00	0.13	0.00	0.13
172.0	0.00	0.14	0.00	0.14	0.10	0.15	0.30	0.16	0.00	0.13	0.20	0.15	0.10	0.15	0.20	0.15
173.0	0.00	0.14	0.00	0.12	0.10	0.15	0.20	0.15	0.00	0.13	0.00	0.14	0.10	0.15	0.00	0.14
174.0	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.14	0.30	0.16	0.20	0.15	0.00	0.13
175.0	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.13	0.00	0.14
176.0	0.10	0.15	0.10	0.15	0.00	0.12	0.00	0.14	0.40	0.16	0.00	0.13	0.30	0.16	0.00	0.13
177.0	0.30	0.16	0.10	0.15	0.20	0.15	0.00	0.13	0.00	0.13	0.00	0.12	0.00	0.13	0.10	0.15
178.0	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.14	0.00	0.13
179.0	0.20	0.15	0.00	0.11	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14
181.0	0.00	0.14	0.00	0.13	0.00	0.14	0.10	0.15	0.10	0.15	0.10	0.15	0.00	0.12	0.00	0.14
182.0	0.00	0.14	0.00	0.12	0.10	0.15	0.00	0.13	0.00	0.12	0.10	0.15	0.00	0.14	0.00	0.14
183.0	0.00	0.12	0.10	0.15	0.10	0.15	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.13
184.0	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15	0.10	0.15	0.00	0.13	0.10	0.15
185.0	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14	0.30	0.16	0.00	0.13	0.00	0.14	0.20	0.15
186.0	0.00	0.14	0.00	0.12	0.40	0.16	0.10	0.15	0.60	0.17	0.00	0.08	0.00	0.14	0.10	0.15
187.0	0.00	0.13	0.00	0.14	0.00	0.13	0.10	0.15	0.00	0.14	0.00	0.12	0.10	0.15	0.50	0.17
188.0	0.00	0.13	0.20	0.15	0.10	0.15	0.10	0.15	0.10	0.15	0.10	0.15	0.00	0.14	0.10	0.15
189.0	0.00	0.13	0.00	0.14	0.50	0.17	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.13
190.0	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.13	0.00	0.14
191.0	0.00	0.14	0.00	0.14	0.40	0.16	0.00	0.14	0.20	0.15	0.00	0.13	0.10	0.15	0.00	0.14
192.0	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.13	0.10	0.15	0.10	0.15	0.00	0.14
193.0	0.30	0.16	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.14	0.10	0.15
194.0	0.00	0.13	0.00	0.13	0.00	0.13	0.10	0.15	0.40	0.16	0.20	0.15	0.00	0.13	0.10	0.15
195.0	0.00	0.14	0.30	0.16	0.00	0.14	0.10	0.15	0.30	0.16	0.00	0.12	0.20	0.15	0.00	0.14
196.0	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.12	0.00	0.14	0.00	0.13	0.00	0.14
197.0	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.13	0.30	0.16	0.00	0.13	0.00	0.14	0.10	0.15
198.0	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14
199.0	0.20	0.15	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.14	0.10	0.15	0.00	0.14
200.0	0.10	0.15	0.00	0.13	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.13	0.00	0.13
201.0	0.30	0.16	0.50	0.17	0.00	0.13	0.10	0.15	0.20	0.15	0.00	0.11	0.00	0.13	0.00	0.14
202.0	0.00	0.14	0.00	0.14	0.30	0.16	0.20	0.15	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.13
203.0	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.14	0.00	0.13
204.0	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.13	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.13
206.0	0.00	0.14	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.13	0.10	0.15	0.50	0.17	0.00	0.14
207.0	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.13
208.0	0.10	0.15	0.00	0.14	0.30	0.16	0.40	0.16	0.20	0.15	0.00	0.10	0.00	0.13	0.00	0.12
209.0	0.40	0.16	0.00	0.14	0.40	0.16	0.20	0.15	0.00	0.12	0.00	0.12	0.00	0.14	0.20	0.15
210.0	0.00	0.14	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.13	0.10	0.15	0.00	0.13	0.00	0.13
